Jb,C,s_ave_NA,a_ave_NA,ta_Na_geq_10
0.4,0.16,0,2.9,290
0.4,0.17,0,6.6,290
0.4,0.18,0.2,8.9,290
0.4,0.19,0.8,14.2,156.3
0.4,0.2,1.9,16.6,127.8
0.4,0.21,4.3,19.2,96.6
0.4,0.22,7.3,19.9,68.1
0.4,0.23,11,20.1,14.7
0.45,0.15,0,,
0.45,0.16,0,,
0.45,0.17,0,,
0.45,0.18,0,3.3,290
0.45,0.19,0,4.4,290
0.45,0.2,0,8.8,290
0.45,0.21,0.2,11.5,235.4
0.45,0.22,0.7,14.5,176.6
0.45,0.23,0.9,17.9,117.7
0.45,0.24,1.2,19.7,95.6
0.45,0.25,4.6,20.9,72.7
0.45,0.26,5.5,21.8,55.2
0.45,0.27,7.2,21.6,48.7
0.45,0.28,11.3,22.3,48.7
0.45,0.29,11.5,22.4,41.4
0.45,0.3,15.3,,
0.45,0.31,18.6,,
0.45,0.32,20.8,,
0.45,0.33,22.5,,
0.45,0.34,23.1,,
0.45,0.35,22.5,,
0.45,0.4,23.4,,
0.45,0.45,23.7,,
0.45,0.5,23.7,,
0.5,0.18,0,,
0.5,0.19,0,,
0.5,0.2,0,2.6,290
0.5,0.21,0,3.6,290
0.5,0.22,0,7.2,290
0.5,0.23,0.2,9.9,271.3
0.5,0.24,0.3,10.9,251.1
0.5,0.25,0.3,15.1,155.4
0.5,0.26,1.1,17.7,134.3
0.5,0.27,2,20.1,107.6
0.5,0.28,1.5,20.8,80.9
0.5,0.29,2.6,21.5,71.7
0.5,0.3,5,22.5,63.5
0.5,0.31,7,22.8,59.8
0.5,0.32,6.3,,
0.5,0.33,7.4,,
0.5,0.34,12.7,,
0.5,0.35,12.7,,
0.5,0.36,15.5,,
0.5,0.37,21.3,,
0.5,0.38,22,,
0.5,0.39,22.9,,
0.5,0.4,22.9,,
0.5,0.41,22.9,,
0.5,0.42,23.6,,
0.5,0.43,23.5,,
0.5,0.44,23.6,,
0.5,0.45,23.7,,
0.5,0.5,23.9,,
0.55,0.22,0,,
0.55,0.23,0,3.6,290
0.55,0.24,0,3.3,290
0.55,0.25,0,5.2,290
0.55,0.26,0,7.8,290
0.55,0.27,0,7.9,290
0.55,0.28,0.2,12,217
0.55,0.29,0.2,16.4,165.5
0.55,0.3,0.7,17.2,141.6
0.55,0.31,0.6,19.7,101.2
0.55,0.32,1.3,21.4,89.2
0.55,0.33,1.2,20.9,66.2
0.55,0.34,1.9,22.8,65.3
0.55,0.35,4,22.9,53.3
0.55,0.36,3.5,23.2,53.3
0.55,0.37,5.8,23.1,44.1
0.55,0.38,6,23.5,34.9
0.55,0.39,8.9,23.5,35.9
0.55,0.4,11.2,,
0.55,0.41,10.4,,
0.55,0.42,15,,
0.55,0.43,17.3,,
0.55,0.44,20.6,,
0.55,0.45,20.6,,
0.55,0.46,21.9,,
0.55,0.47,23.3,,
0.55,0.48,23.3,,
0.55,0.49,23.7,,
0.55,0.5,23.8,,
0.55,0.55,24.2,,
0.55,0.6,24.2,,
0.6,0.23,0,,
0.6,0.24,0,,
0.6,0.25,0,,
0.6,0.26,0,2.8,290
0.6,0.27,0,2.9,290
0.6,0.28,0,3.9,290
0.6,0.29,0,4.6,290
0.6,0.3,0,7.2,290
0.6,0.31,0.2,9.7,290
0.6,0.32,0,11.4,245.6
0.6,0.33,0,12.7,212.5
0.6,0.34,0.4,16.6,149.9
0.6,0.35,0.5,17.1,139.8
0.6,0.36,0.7,18.3,95.6
0.6,0.37,0.5,19.5,91.1
0.6,0.38,1.5,20.7,73.6
0.6,0.39,1.7,22,76.3
0.6,0.4,1.1,22.1,67.1
0.6,0.41,3.8,22.8,59.8
0.6,0.42,4.2,23.2,47.8
0.6,0.43,5.9,23.9,38.6
0.6,0.44,7.5,23.8,42.3
0.6,0.45,6.9,23.9,36.8
0.6,0.46,7.4,,
0.6,0.47,11.7,,
0.6,0.48,10.3,,
0.6,0.49,13.2,,
0.6,0.5,16.3,,
0.6,0.55,21.8,,
0.6,0.6,24.2,,
0.6,0.65,24.3,,
0.6,0.7,24.3,,
0.6,0.75,24.4,,
0.65,0.28,0,,
0.65,0.29,0,,
0.65,0.3,0,,
0.65,0.31,0,2,290
0.65,0.32,0,2,290
0.65,0.33,0,2.6,290
0.65,0.34,0,3.5,290
0.65,0.35,0,3.8,290
0.65,0.36,0,7.3,290
0.65,0.37,0.2,7.4,290
0.65,0.38,0,9.9,290
0.65,0.39,0,9.9,290
0.65,0.4,0.7,12.4,211.5
0.65,0.41,0,16.3,133.4
0.65,0.42,1.2,18.4,125.1
0.65,0.43,0.5,18.3,115.9
0.65,0.44,1.2,19.3,104.8
0.65,0.45,1.1,20.6,86.5
0.65,0.46,1.9,23.4,67.1
0.65,0.47,1.4,22.8,57
0.65,0.48,2.4,23.2,49.7
0.65,0.49,4.5,23.9,52.4
0.65,0.5,5.3,23.7,46.9
0.65,0.52,6.7,,
0.65,0.54,9.2,,
0.65,0.56,11.3,,
0.65,0.58,15.4,,
0.65,0.6,17.1,,
0.65,0.65,23.1,,
0.65,0.7,24.4,,
0.65,0.75,24.4,,
0.65,0.8,24.5,,
0.65,0.85,24.5,,
0.7,0.4,0,3.7,290
0.7,0.41,0,3.4,290
0.7,0.42,0,5.2,290
0.7,0.43,0,4.1,290
0.7,0.44,0,7.2,290
0.7,0.45,0,10,274.1
0.7,0.46,0,11,242.8
0.7,0.47,0.2,12.4,175.7
0.7,0.48,0.7,13.7,180.3
0.7,0.49,0.7,14.3,149
0.7,0.5,0.2,15.8,129.7
0.7,0.51,0.7,,
0.7,0.52,1.9,,
0.7,0.53,1.8,,
0.7,0.54,1.9,,
0.7,0.55,2.7,,
0.7,0.56,2.9,,
0.7,0.57,4.6,,
0.7,0.58,4.7,,
0.7,0.59,7.3,,
0.7,0.6,6.5,,
0.75,0.43,0,0.8,290
0.75,0.44,0,0.8,290
0.75,0.45,0.2,1.5,290
0.75,0.46,0,2.2,290
0.75,0.47,0,2.8,290
0.75,0.48,0,2,290
0.75,0.49,0.2,3.3,290
0.75,0.5,0.5,4.9,290
